Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
URY,2023,SH.DYN.MORT,6.7
URY,2022,SH.DYN.MORT,6.8
URY,2021,SH.DYN.MORT,7
URY,2020,SH.DYN.MORT,7.1
URY,2019,SH.DYN.MORT,7.4
URY,2018,SH.DYN.MORT,7.7
URY,2017,SH.DYN.MORT,8.1
URY,2016,SH.DYN.MORT,8.5
URY,2015,SH.DYN.MORT,8.9
URY,2014,SH.DYN.MORT,9.3
URY,2013,SH.DYN.MORT,9.7
URY,2012,SH.DYN.MORT,10
URY,2011,SH.DYN.MORT,10.4
URY,2010,SH.DYN.MORT,10.8
URY,2009,SH.DYN.MORT,11.3
URY,2008,SH.DYN.MORT,11.9
URY,2007,SH.DYN.MORT,12.7
URY,2006,SH.DYN.MORT,13.5
URY,2005,SH.DYN.MORT,14.4
URY,2004,SH.DYN.MORT,15.2
URY,2003,SH.DYN.MORT,15.8
URY,2002,SH.DYN.MORT,16.2
URY,2001,SH.DYN.MORT,16.6
URY,2000,SH.DYN.MORT,17
URY,1999,SH.DYN.MORT,17.6
URY,1998,SH.DYN.MORT,18.4
URY,1997,SH.DYN.MORT,19.3
URY,1996,SH.DYN.MORT,20.3
URY,1995,SH.DYN.MORT,21.2
URY,1994,SH.DYN.MORT,21.9
URY,1993,SH.DYN.MORT,22.5
URY,1992,SH.DYN.MORT,22.9
URY,1991,SH.DYN.MORT,23.2
URY,1990,SH.DYN.MORT,23.7
URY,1989,SH.DYN.MORT,24.2
URY,1988,SH.DYN.MORT,25.1
URY,1987,SH.DYN.MORT,26.2
URY,1986,SH.DYN.MORT,27.4
URY,1985,SH.DYN.MORT,28.4
URY,1984,SH.DYN.MORT,29.5
URY,1983,SH.DYN.MORT,31
URY,1982,SH.DYN.MORT,33.1
URY,1981,SH.DYN.MORT,36
URY,1980,SH.DYN.MORT,39.8
URY,1979,SH.DYN.MORT,44.1
URY,1978,SH.DYN.MORT,48.3
URY,1977,SH.DYN.MORT,51.8
URY,1976,SH.DYN.MORT,54.1
URY,1975,SH.DYN.MORT,54.9
URY,1974,SH.DYN.MORT,54.6
URY,1973,SH.DYN.MORT,53.9
URY,1972,SH.DYN.MORT,53.4
URY,1971,SH.DYN.MORT,53.3
URY,1970,SH.DYN.MORT,54
URY,1969,SH.DYN.MORT,55.3
URY,1968,SH.DYN.MORT,56.4
URY,1967,SH.DYN.MORT,57
URY,1966,SH.DYN.MORT,57.4
URY,1965,SH.DYN.MORT,57.7
URY,1964,SH.DYN.MORT,58.3
URY,1963,SH.DYN.MORT,59.3
URY,1962,SH.DYN.MORT,60.6
URY,1961,SH.DYN.MORT,62.1
URY,1960,SH.DYN.MORT,63.3
URY,2023,SI.POV.DDAY,0.2
URY,2022,SI.POV.DDAY,0.2
URY,2021,SI.POV.DDAY,0.2
URY,2020,SI.POV.DDAY,0.3
URY,2019,SI.POV.DDAY,0.1
URY,2018,SI.POV.DDAY,0.1
URY,2017,SI.POV.DDAY,0.1
URY,2016,SI.POV.DDAY,0.1
URY,2015,SI.POV.DDAY,0.2
URY,2014,SI.POV.DDAY,0.2
URY,2013,SI.POV.DDAY,0.3
URY,2012,SI.POV.DDAY,0.3
URY,2011,SI.POV.DDAY,0.2
URY,2010,SI.POV.DDAY,0.3
URY,2009,SI.POV.DDAY,0.4
URY,2008,SI.POV.DDAY,0.4
URY,2007,SI.POV.DDAY,0.7
URY,2006,SI.POV.DDAY,1
URY,2005,SI.POV.DDAY,1.5
URY,2004,SI.POV.DDAY,1.7
URY,2003,SI.POV.DDAY,1.5
URY,2002,SI.POV.DDAY,1.1
URY,2001,SI.POV.DDAY,0.7
URY,2000,SI.POV.DDAY,0.9
URY,1998,SI.POV.DDAY,0.9
URY,1997,SI.POV.DDAY,0.7
URY,1996,SI.POV.DDAY,0.9
URY,1995,SI.POV.DDAY,0.8
URY,1992,SI.POV.DDAY,0.9
URY,1989,SI.POV.DDAY,1
URY,1981,SI.POV.DDAY,0
URY,2024,SP.POP.GROW,-0.0440759548302792
URY,2023,SP.POP.GROW,-0.0835522251458198
URY,2022,SP.POP.GROW,-0.170369337727093
URY,2021,SP.POP.GROW,-0.0668956092956434
URY,2020,SP.POP.GROW,0.0518527053450753
URY,2019,SP.POP.GROW,0.0786838170441181
URY,2018,SP.POP.GROW,0.179744266709225
URY,2017,SP.POP.GROW,0.270549143036717
URY,2016,SP.POP.GROW,0.333941294134426
URY,2015,SP.POP.GROW,0.347483697847475
URY,2014,SP.POP.GROW,0.328187100513488
URY,2013,SP.POP.GROW,0.297452387025821
URY,2012,SP.POP.GROW,0.257451630638359
URY,2011,SP.POP.GROW,0.248141512237734
URY,2010,SP.POP.GROW,0.256129913246022
URY,2009,SP.POP.GROW,0.239373352045262
URY,2008,SP.POP.GROW,0.212934707039678
URY,2007,SP.POP.GROW,0.171519933968135
URY,2006,SP.POP.GROW,0.113607393322573
URY,2005,SP.POP.GROW,0.0798609372229262
URY,2004,SP.POP.GROW,0.0597775816533495
URY,2003,SP.POP.GROW,0.0707006512477159
URY,2002,SP.POP.GROW,0.140879525241248
URY,2001,SP.POP.GROW,0.246007398484151
URY,2000,SP.POP.GROW,0.373944815859448
URY,1999,SP.POP.GROW,0.45385356103469
URY,1998,SP.POP.GROW,0.493144265488424
URY,1997,SP.POP.GROW,0.529453063948236
URY,1996,SP.POP.GROW,0.527975679567825
URY,1995,SP.POP.GROW,0.522015798423953
URY,1994,SP.POP.GROW,0.52104822142472
URY,1993,SP.POP.GROW,0.528682164061756
URY,1992,SP.POP.GROW,0.554068643934089
URY,1991,SP.POP.GROW,0.576577815081659
URY,1990,SP.POP.GROW,0.5863044602648
URY,1989,SP.POP.GROW,0.59452102052382
URY,1988,SP.POP.GROW,0.590567988250426
URY,1987,SP.POP.GROW,0.560636879371842
URY,1986,SP.POP.GROW,0.522589894361019
URY,1985,SP.POP.GROW,0.483394564540091
URY,1984,SP.POP.GROW,0.457667008298166
URY,1983,SP.POP.GROW,0.445520473619639
URY,1982,SP.POP.GROW,0.412411436806429
URY,1981,SP.POP.GROW,0.38183039050652
URY,1980,SP.POP.GROW,0.40903975932411
URY,1979,SP.POP.GROW,0.483769235243481
URY,1978,SP.POP.GROW,0.557105459685174
URY,1977,SP.POP.GROW,0.622979359711899
URY,1976,SP.POP.GROW,0.661798147064247
URY,1975,SP.POP.GROW,0.641816831357887
URY,1974,SP.POP.GROW,0.590786204296072
URY,1973,SP.POP.GROW,0.547434142808986
URY,1972,SP.POP.GROW,0.539507849533265
URY,1971,SP.POP.GROW,0.559381399085033
URY,1970,SP.POP.GROW,0.604985221938376
URY,1969,SP.POP.GROW,0.700652942836779
URY,1968,SP.POP.GROW,0.813909218217912
URY,1967,SP.POP.GROW,0.905570476769081
URY,1966,SP.POP.GROW,0.982672927588653
URY,1965,SP.POP.GROW,1.04939728740425
URY,1964,SP.POP.GROW,1.11482302975285
URY,1963,SP.POP.GROW,1.16802655253739
URY,1962,SP.POP.GROW,1.21250473408929
URY,1961,SP.POP.GROW,1.2603070862254
